syntagme,A,B,relation,split,det,definitude,ambigu,candidats
estampe d'une vague,estampe,vague,r_depict,train,Det,NoDef,non,
radiographie d'une épaule,radiographie,épaule,r_depict,train,Det,NoDef,non,
échographie d'un fœtus,échographie,fœtus,r_depict,train,Det,NoDef,non,
scanner du genou,scanner,genou,r_depict,train,Det,Def,non,
cliché d'une éclipse,cliché,éclipse,r_depict,train,Det,NoDef,non,
tableau d'une tempête,tableau,tempête,r_depict,train,Det,NoDef,non,
toile d'un port,toile,port,r_depict,train,Det,NoDef,non,
reconstitution d'un dinosaure,reconstitution,dinosaure,r_depict,train,Det,NoDef,non,
figurine d'un soldat,figurine,soldat,r_depict,train,Det,NoDef,non,
marionnette d'un dragon,marionnette,dragon,r_depict,train,Det,NoDef,non,
masque d'un démon,masque,démon,r_depict,train,Det,NoDef,non,
totem d'un aigle,totem,aigle,r_depict,train,Det,NoDef,non,
blason d'une famille,blason,famille,r_depict,train,Det,NoDef,non,
timbre d'une locomotive,timbre,locomotive,r_depict,train,Det,NoDef,non,
tapisserie d'une chasse,tapisserie,chasse,r_depict,train,Det,NoDef,non,
photo d'une manifestation,photo,manifestation,r_depict,test,Det,NoDef,non,
portrait d'une vieille dame,portrait,vieille dame,r_depict,test,Det,NoDef,non,
dessin d'une maison,dessin,maison,r_depict,test,Det,NoDef,non,
statue d'une nymphe,statue,nymphe,r_depict,test,Det,NoDef,non,
croquis d'un pont,croquis,pont,r_depict,test,Det,NoDef,non,
maquette d'un avion,maquette,avion,r_depict,test,Det,NoDef,non,
plan d'un quartier,plan,quartier,r_depict,test,Det,NoDef,non,
carte d'un archipel,carte,archipel,r_depict,test,Det,NoDef,non,
schéma d'une cellule,schéma,cellule,r_depict,test,Det,NoDef,non,
illustration d'une légende,illustration,légende,r_depict,test,Det,NoDef,non,
vidéo d'un but,vidéo,but,r_depict,test,Det,NoDef,non,
enregistrement d'un concert,enregistrement,concert,r_depict,test,Det,NoDef,non,
gravure de l'éruption,gravure,éruption,r_depict,test,Det,Def,non,
sculpture d'un taureau,sculpture,taureau,r_depict,test,Det,NoDef,non,
vitrail d'une colombe,vitrail,colombe,r_depict,test,Det,NoDef,non,
mosaïque d'un dauphin,mosaïque,dauphin,r_depict,test,Det,NoDef,non,
buste d'un philosophe,buste,philosophe,r_depict,test,Det,NoDef,non,
caricature d'un banquier,caricature,banquier,r_depict,test,Det,NoDef,non,
aquarelle d'une barque,aquarelle,barque,r_depict,test,Det,NoDef,non,
pastel d'une rivière,pastel,rivière,r_depict,test,Det,NoDef,non,
esquisse d'une robe,esquisse,robe,r_depict,test,Det,NoDef,non,
miniature d'un château,miniature,château,r_depict,test,Det,NoDef,non,
moulage d'une statue,moulage,statue,r_depict,test,Det,NoDef,non,
radiographie d'un poumon,radiographie,poumon,r_depict,test,Det,NoDef,non,
IRM d'un cerveau,IRM,cerveau,r_depict,test,Det,NoDef,non,
film d'une évasion,film,évasion,r_depict,test,Det,NoDef,non,
reconstitution d'un crime,reconstitution,crime,r_depict,test,Det,NoDef,non,
figurine d'un chevalier,figurine,chevalier,r_depict,test,Det,NoDef,non,
icône d'un archange,icône,archange,r_depict,test,Det,NoDef,non,
effigie d'un pharaon,effigie,pharaon,r_depict,test,Det,NoDef,non,
