terme,role,relations_associees,nb_occurrences,nb_candidats_ambigus
dictionnaire,B,r_holo,1,0
diffusion,A,r_processus_patient,1,0
Dijon,B,r_lieu>origine,1,0
dinosaure,B,r_depict,1,0
diplomate,B,r_own-1,1,0
directeur,A,r_social_tie,1,0
directeur,B,r_own-1|r_processus_agent|r_social_tie,3,0
disciple,A,r_social_tie,1,0
discours,A,r_processus_agent,1,0
discours,B,r_depict,1,0
discrétion,A,r_has_property-1,1,0
discussion,B,r_topic,1,0
distillation,A,r_processus_patient,1,0
dizaine,A,r_quantificateur,1,0
docilité,A,r_has_property-1,1,0
doctorant,B,r_product_of,1,0
documentaire,A,r_topic,1,0
doigt,A,r_quantificateur,1,0
domaine,A,r_own-1,1,0
dommages,A,r_has_causatif,1,0
données,B,r_processus_patient,1,0
dosage,B,r_processus>instr-1,1,0
dose,A,r_quantificateur,1,0
douceur,A,r_has_property-1,1,0
douche,B,r_has_causatif,1,0
douleur,B,r_has_causatif,1,0
douzaine,A,r_quantificateur,1,0
doyen,A,r_social_tie,1,0
dragon,B,r_depict,1,0
dressage,A,r_processus_patient,1,0
duchesse,B,r_own-1,1,0
dunes,A,r_lieu,1,0
dureté,A,r_has_property-1,1,0
débat,A,r_topic,1,0
débutant,B,r_social_tie,1,0
déchargement,A,r_processus_patient,1,0
déchets,B,r_processus>instr-1|r_processus_patient,2,0
décision,A,r_processus_agent,1,0
décombres,A,r_has_causatif,1,0
découpe,A,r_processus_patient,1,0
découpe,B,r_processus>instr-1,2,0
déesse,B,r_depict,1,0
défaite,B,r_has_causatif,1,0
défense,A,r_holo,1,0
défenseur,A,r_social_tie,1,0
défilé,A,r_processus_agent,1,0
dégustation,B,r_processus>instr-1,1,0
dégâts,A,r_has_causatif,1,0
délégation,B,r_social_tie,1,0
délégué,A,r_social_tie,1,0
démangeaisons,A,r_has_causatif,1,0
démission,A,r_processus_agent,1,0
démolition,A,r_processus_patient,1,0
démon,B,r_depict,1,0
démonstration,A,r_processus_agent,1,0
démontage,A,r_processus_patient,1,0
député,B,r_depict|r_social_tie,2,0
députés,B,r_processus_agent,1,0
désert,A,r_lieu,1,0
désert,B,r_has_property-1,1,0
déserteur,B,r_has_property-1,1,0
déshydratation,A,r_has_causatif,1,0
désordre,A,r_has_causatif,1,0
détecteur,A,r_processus>instr-1,1,0
détritus,A,r_has_causatif,1,0
développeur,B,r_own-1|r_product_of,2,0
dôme,A,r_holo,1,0
eau,A,r_lieu>origine,1,0
eau,B,r_quantificateur,1,0
eaux,B,r_processus_patient,1,0
effets,A,r_has_causatif,1,0
effigie,A,r_depict,2,0
effort,B,r_has_causatif,1,0
emballage,A,r_objet>matiere|r_processus_patient,2,0
emballage,B,r_processus>instr-1,1,0
embout,A,r_processus>instr-1,1,0
embouteillage,A,r_processus_patient,1,0
embouteillages,A,r_lieu,1,0
empereur,A,r_social_tie,1,0
empereur,B,r_depict,1,0
employeur,A,r_social_tie,1,0
employé,B,r_own-1,1,0
encre,A,r_product_of,1,0
encyclopédie,A,r_topic,1,0
enfance,B,r_topic,1,0
enfant,B,r_depict|r_has_property-1|r_own-1|r_social_tie,4,0
enfants,B,r_processus_agent|r_social_tie,3,0
ennui,A,r_has_causatif,1,0
enquête,A,r_processus_agent,1,0
enquête,B,r_topic,1,0
enregistrement,A,r_depict,2,0
enregistrement,B,r_processus>instr-1,1,0
entonnoir,A,r_processus>instr-1,1,0
entraînement,A,r_processus_agent,1,0
entraînement,B,r_has_causatif,1,0
entraîneur,A,r_social_tie,1,0
entreprise,B,r_social_tie,1,0
entêtement,A,r_has_property-1,1,0
envol,A,r_processus_agent,1,0
escalade,B,r_processus>instr-1,1,0
escalier,A,r_objet>matiere,1,0
escalier,B,r_holo,1,0
escargot,B,r_has_property-1|r_holo,2,0
Espagne,B,r_lieu>origine,1,0
espionnage,B,r_topic,1,0
esquisse,A,r_depict,2,0
essaim,A,r_quantificateur,1,0
essence,B,r_quantificateur,1,0
essieu,A,r_holo,1,0
essoreuse,A,r_processus>instr-1,1,0
estampe,A,r_depict,1,0
estampes,A,r_lieu>origine,1,0
euphorie,A,r_has_causatif,1,0
examen,A,r_processus_agent,1,0
examens,B,r_has_causatif,1,0
exiguïté,A,r_has_property-1,1,0
exode,A,r_has_causatif,1,0
expert,B,r_processus_agent|r_product_of,2,0
explication,A,r_processus_agent,1,0
explosion,B,r_has_causatif,1,0
exposition,A,r_topic,1,0
exposé,A,r_topic,1,0
expérience,B,r_has_causatif,1,0
extincteur,A,r_processus>instr-1,1,0
extraction,A,r_processus_patient,1,0
facteur,B,r_own-1,1,0
faculté,A,r_topic,1,0
faculté,B,r_social_tie,1,0
faim,B,r_has_causatif,1,0
falaise,B,r_depict,1,0
falaises,A,r_lieu,1,0
famille,B,r_depict|r_social_tie,3,0
fantômes,B,r_topic,1,0
farine,A,r_product_of,1,0
farine,B,r_processus_patient|r_quantificateur,2,0
fatigue,A,r_has_causatif,1,0
fauteuil,A,r_objet>matiere,1,0
favelas,A,r_lieu,1,0
façade,B,r_processus_patient,1,0
faïence,B,r_objet>matiere,1,0
fenêtre,B,r_holo|r_processus_patient,2,0
fer,B,r_objet>matiere,1,0
ferme,A,r_own-1,1,0
fermentation,A,r_processus_patient,1,0
fermeture,A,r_processus_patient,1,0
fermier,B,r_own-1|r_processus_agent|r_social_tie,3,0
ferrage,A,r_processus_patient,1,0
ferraille,B,r_quantificateur,1,0
ferronnier,B,r_product_of,1,0
ferveur,A,r_has_property-1,1,0
festival,A,r_lieu|r_topic,2,0
festival,B,r_has_causatif,1,0
feuille,A,r_holo,1,0
feutre,B,r_objet>matiere,1,0
fiabilité,A,r_has_property-1,1,0
fiancée,A,r_social_tie,1,0
fichiers,B,r_processus_patient,1,0
fidèles,B,r_processus_agent,1,0
figues,A,r_lieu>origine,1,0
figurine,A,r_depict,2,0
fil,A,r_objet>matiere,1,0
filature,B,r_product_of,1,0
filet,A,r_processus>instr-1|r_quantificateur,2,0
fille,A,r_social_tie,1,0
filleul,A,r_social_tie,1,0
filleul,B,r_social_tie,1,0
film,A,r_depict|r_processus>instr-1|r_product_of|r_topic,5,0
film,B,r_holo|r_processus_patient,2,0
fils,A,r_social_tie,1,0
filtrage,A,r_processus_patient,1,0
filtrage,B,r_processus>instr-1,1,0
filtration,B,r_processus>instr-1,1,0
finances,B,r_topic,1,0
finesse,A,r_has_property-1,1,0
fissures,A,r_has_causatif,1,0
fixation,B,r_processus>instr-1,1,0
fièvre,B,r_has_causatif,1,0
fjords,A,r_lieu,1,0
