syntagme,A,B,relation,split,det,definitude,ambigu,candidats
attaque d'un requin,attaque,requin,r_processus_agent,test,Det,NoDef,non,
travail des abeilles,travail,abeilles,r_processus_agent,test,Det,Def,non,
creusement de la taupe,creusement,taupe,r_processus_agent,test,Det,Def,non,
marche des fourmis,marche,fourmis,r_processus_agent,test,Det,Def,non,
sommeil du nourrisson,sommeil,nourrisson,r_processus_agent,test,Det,Def,non,
pleurs du bébé,pleurs,bébé,r_processus_agent,test,Det,Def,non,
rires des enfants,rires,enfants,r_processus_agent,test,Det,Def,non,
applaudissements du public,applaudissements,public,r_processus_agent,test,Det,Def,non,
huées de la foule,huées,foule,r_processus_agent,test,Det,Def,non,
prière des fidèles,prière,fidèles,r_processus_agent,test,Det,Def,non,
procession des pèlerins,procession,pèlerins,r_processus_agent,test,Det,Def,non,
défilé des soldats,défilé,soldats,r_processus_agent,test,Det,Def,non,
charge de la cavalerie,charge,cavalerie,r_processus_agent,test,Det,Def,non,
ruée des supporters,ruée,supporters,r_processus_agent,test,Det,Def,non,
allocution de la reine,allocution,reine,r_processus_agent,test,Det,Def,non,
signature d'un notaire,signature,notaire,r_processus_agent,test,Det,NoDef,non,
inauguration du maire,inauguration,maire,r_processus_agent,test,Det,Def,non,
sauvetage des secouristes,sauvetage,secouristes,r_processus_agent,test,Det,Def,non,
