id,nom,description
19,r_lemma,Le lemme (par exemple 'mangent a pour lemme 'manger' ; 'avions' a pour lemme 'avion' ou 'avoir'). - [1 ≤ q=1 ≤ 2]
20,r_has_magn,"La magnification ou amplification, par exemple - forte fièvre - ou - fièvre de cheval - pour fièvre. Ou encore - amour fou - pour amour, - peur bleue - pour peur. - [conversif : r_has_antimagn] - [1 ≤ q=1 ≤ 2]"
21,r_has_antimagn,"L'inverse de la magnification, par exemple - bruine - pour pluie. - [conversif : r_has_magn] - [1 ≤ q=1 ≤ 2]"
22,r_family,"Des mots de la même famille lexicale sont demandés (dérivation morphologique, par exemple). Par exemple, pour 'lait' on pourrait mettre 'laitier', 'laitage', 'laiterie', etc. - [conversif : r_family] - [1 ≤ q=1 ≤ 2]"
23,r_carac-1,"Quels sont les objets (des noms) possédant typiquement/possiblement la caractérisque suivante ? Par exemple, 'soleil', 'feu', pour 'chaud'. - [conversif : r_carac] - [1 ≤ q=7.61 ≤ 10]"
24,r_agent-1,"Que peut faire ce SUJET ? (par exemple chat => miauler, griffer, etc.) (chat r_agent-1 manger) - [conversif : r_agent] - [1 ≤ q=5.66 ≤ 10]"
25,r_instr-1,"L'instrument est l'objet avec lequel on fait l'action. Dans - Il mange sa salade avec une fourchette -, fourchette est l'instrument. On demande ici, ce qu'on peut faire avec un instrument donné... (scie r_instr-1 scier) - [conversif : r_instr] - [1 ≤ q=1 ≤ 10]"
26,r_patient-1,"(inverse de r_patient) Que peut-on faire à cet OBJET. Pour 'pomme', on pourrait avoir 'manger', 'croquer', couper', 'éplucher', etc. (pomme r_patient-1 manger) - [conversif : r_patient] - [1 ≤ q=1 ≤ 10]"
27,r_domain-1,"inverse de r_domain : à un domaine, on associe des termes - [conversif : r_domain] - [1 ≤ q=1 ≤ 1]"
28,r_lieu-1,"A partir d'un lieu, il est demandé d'énumérer ce qui peut typiquement s'y trouver. Par exemple : Paris r_lieu-1 tour Eiffel - [conversif : r_lieu] - [1 ≤ q=1 ≤ 1]"
29,r_chunk_pred,(interne) d'un prédicat quel chunk ? - [1 ≤ q=1 ≤ 2]
30,r_lieu_action,"A partir d'un lieu, énumérer les actions typiques possibles dans ce lieu. - [conversif : r_action_lieu] - [1 ≤ q=1 ≤ 1]"
31,r_action_lieu,"A partir d'une action (un verbe), énumérer les lieux typiques possibles où peut être réalisée cette action. - [conversif : r_lieu_action] - [1 ≤ q=1 ≤ 6]"
32,r_sentiment,"Pour un terme donné, évoquer des mots liés à des SENTIMENTS ou des EMOTIONS que vous pourriez associer à ce terme. Par exemple, la joie, le plaisir, le dégoût, la peur, la haine, l'amour, l'indifférence, l'envie, avoir peur, horrible, etc. - [conversif : r_sentiment-1] - [1 ≤ q=7.22 ≤ 10]"
33,r_error,lien d'erreur - [1 ≤ q=1 ≤ 2]
34,r_manner,"De quelles MANIERES peut être effectuée l'action (le verbe) proposée. Il s'agira d'un adverbe ou d'un équivalent comme une locution adverbiale, par exemple : 'rapidement', 'sur le pouce', 'goulûment', 'salement' ... pour 'manger'. - [conversif : r_manner-1] - [1 ≤ q=3.85 ≤ 6]"
35,r_meaning/glose,"Quels SENS/SIGNIFICATIONS pouvez vous donner au terme proposé. Il s'agira de termes (des gloses) évoquant chacun des sens possibles, par exemple : 'forces de l'ordre', 'contrat d'assurance', 'police typographique', ... pour 'police'. - [2 ≤ q=2.43 ≤ 4]"
36,r_infopot,Information sémantique potentielle - [1 ≤ q=0.85 ≤ 2]
37,r_telic_role,"Le rôle télique indique la fonction du nom ou du verbe. Par exemple, couper pour couteau, scier pour scie, etc. C'est le rôle qu'on lui destine communément pour un artéfact, ou bien un rôle qu'on peut attribuer à un objet naturel (réchauffer, éclairer pour soleil). - [1 ≤ q=1 ≤ 2]"
38,r_agentif_role,"De quelle(s) manière(s) peut être CRÉE/CONSTRUIT le terme suivant. On demande des verbes transitifs (le terme en est un complément d'objet) qui DONNENT NAISSANCE à l'entité désignée par le terme, par exemple, 'construire' pour 'maison', 'rédiger'/'imprimer' pour 'livre' ou 'lettre'. - [1 ≤ q=6.47 ≤ 10]"
39,r_verbe-action,"du verbe vers l'action. Par exemple, construire -> construction , jardiner -> jardinage . C'est un terme directement dérivé (ayant la même racine). Applicable que pour un verbe et inverse de la relation 40 (action vers verbe). - [conversif : r_action-verbe] - [1 ≤ q=1 ≤ 2]"
40,r_action-verbe,"de l'action vers le verbe. Par exemple, construction -> construire, jardinage -> jardiner. C'est un terme directement dérivé (ayant la même racine). Applicable que pour un nom et inverse de la relation 39 (verbe vers action). - [conversif : r_verbe-action] - [1 ≤ q=0.99 ≤ 2]"
41,r_has_conseq,B (que vous devez donner) est une CONSEQUENCE possible de A. A et B sont des verbes ou des noms. Exemples : tomber -> se blesser ; faim -> voler ; allumer -> incendie ; négligence --> accident ; etc. - [conversif : r_has_causatif] - [1 ≤ q=7.32 ≤ 10]
42,r_has_causatif,B (que vous devez donner) est une CAUSE possible de A. A et B sont des verbes ou des noms. Exemples : se blesser -> tomber ; vol -> pauvreté ; incendie -> négligence ; mort --> maladie ; etc. - [conversif : r_has_conseq] - [1 ≤ q=8.79 ≤ 10]
43,r_adj-verbe,"Pour un adjectif de potentialité/possibilité, son verbe correspondant. Par exemple pour 'lavable' -> 'laver' - [conversif : r_verbe-adj] - [1 ≤ q=1 ≤ 2]"
44,r_verbe-adj,"Pour un verbe, son adjectif de potentialité/possibilité correspondant. Par exemple pour 'laver' -> 'lavable' - [conversif : r_adj-verbe] - [1 ≤ q=1 ≤ 2]"
45,r_chunk_sujet,(interne) - [1 ≤ q=1 ≤ 2]
46,r_chunk_objet,(interne) - [1 ≤ q=1 ≤ 2]
47,r_chunk_loc,(interne) - [1 ≤ q=1 ≤ 2]
48,r_chunk_instr,(interne) - [1 ≤ q=1 ≤ 2]
49,r_time,"Donner une valeur temporelle -quel moment- peut-on associer au terme indiqué (par exemple 'dormir' -> nuit, 'bronzer' -> été, 'fatigue' -> 'soir') - [1 ≤ q=1.48 ≤ 2]"
50,r_object>mater,"Quel est la ou les MATIERE/SUBSTANCE pouvant composer l'objet qui suit. Par exemple, 'bois' pour 'poutre'. - [conversif : r_mater>object] - [1 ≤ q=1 ≤ 5]"
51,r_mater>object,"Quel est la ou les CHOSES qui sont composés de la MATIERE/SUBSTANCE qui suit (exemple 'bois' -> poutre, table, ...). - [conversif : r_object>mater] - [1 ≤ q=5.17 ≤ 5]"
52,r_has_successeur-time,"Qu'est ce qui peut SUIVRE temporellement (par exemple Noêl -> jour de l'an, guerre -> paix, jour -> nuit, pluie -> beau temps, repas -> sieste, etc) le terme suivant : - [conversif : r_has_predecesseur-time] - [1 ≤ q=5.51 ≤ 6]"
53,r_make,"Que peut PRODUIRE le terme ? (par exemple abeille -> miel, usine -> voiture, agriculteur -> blé, moteur -> gaz carbonique ...) - [conversif : r_product_of] - [1 ≤ q=1 ≤ 2]"
54,r_product_of,Le terme est le RESULTAT/PRODUIT de qui/quoi ? - [conversif : r_make] - [1 ≤ q=1 ≤ 2]
55,r_against,"A quoi le terme suivant S'OPPOSE/COMBAT/EMPECHE ? Par exemple, un médicament s'oppose à la maladie. - [conversif : r_against-1] - [1 ≤ q=1.98 ≤ 2]"
56,r_against-1,"Inverse de r_against (s'oppose à) - a comme opposition active (S'OPPOSE/COMBAT/EMPECHE). Par exemple, une bactérie à comme opposition antibiotique. - [conversif : r_against] - [1 ≤ q=1 ≤ 2]"
57,r_implication,"Qu'est-ce que le terme implique logiquement ? Par exemple : ronfler implique dormir, courir implique se déplacer, câlin implique contact physique. (attention ce n'est pas la cause ni le but...) - [1 ≤ q=2 ≤ 2]"
58,r_quantificateur,"Quantificateur(s) typique(s) pour le terme, indiquant une quantité. Par exemples, sucre -> grain, morceau - sel -> grain, pincée - herbe -> brin, touffe - ... - [conversif : r_quantificateur-1] - [1 ≤ q=1 ≤ 2]"
59,r_masc,L'équivalent masculin du terme : lionne --> lion. - [conversif : r_fem] - [1 ≤ q=1 ≤ 2]
60,r_fem,L'équivalent féminin du terme : lion --> lionne. - [conversif : r_masc] - [1 ≤ q=1 ≤ 2]
61,r_equiv,"Termes strictement équivalent/identique : acronymes et sigles (PS -> parti socialiste), apocopes (ciné -> cinéma), entités nommées (Louis XIV -> Le roi soleil), etc. (attention il ne s'agit pas de synonyme) - [conversif : r_equiv] - [1 ≤ q=1.5 ≤ 2]"
62,r_manner-1,"Quelles ACTIONS (verbes) peut-on effectuer de cette manière ? Par exemple, rapidement -> courir, manger, ... - [conversif : r_manner] - [1 ≤ q=4.51 ≤ 6]"
63,r_agentive_implication,"Les verbes ou actions qui sont impliqués dans la création de l'objet. Par exemple pour 'construire' un livre, il faut, imprimer, relier, brocher, etc. Il s'agit des étapes nécessaires à la réalisation du rôle agentif. - [1 ≤ q=1 ≤ 2]"
64,r_has_instance,"Une instance d'un 'type' est un individu particulier de ce type. Il s'agit d'une entité nommée (personne, lieu, organisation, etc) - par exemple, 'cheval' a pour instance possible 'Jolly Jumper', ou encore 'transatlantique' a pour instance possible 'Titanic'. - [conversif : r_is_instance_of] - [1 ≤ q=1 ≤ 3]"
65,r_verb_real,"Pour un verbe, celui qui réalise l'action (par dérivation morphologique). Par exemple, chasser -> chasseur, naviguer -> navigateur. - [1 ≤ q=1 ≤ 2]"
66,r_chunk_head,- [1 ≤ q=1 ≤ 2]
67,r_similar,"Similaire/ressemble à ; par exemple le congre est similaire à une anguille, ... - [conversif : r_similar] - [1 ≤ q=1.5 ≤ 2]"
68,r_set>item,"Quel est l'ELEMENT qui compose l'ENSEMBLE qui suit (par exemple, un essaim est composé d'abeilles) - [conversif : r_item>set] - [1 ≤ q=0.91 ≤ 2]"
69,r_item>set,"Quel est l'ENSEMBLE qui est composé de l'ELEMENT qui suit (par exemple, un essaim est composé d'abeilles) - [conversif : r_set>item] - [1 ≤ q=1 ≤ 2]"
70,r_processus>agent,"Quel est l'acteur de ce processus/événement ? Par exemple, 'nettoyage' peut avoir comme acteur 'technicien de surface'. - [conversif : r_processus>agent-1] - [1 ≤ q=0.94 ≤ 2]"
71,r_variante,"Variantes du termes cible. Par exemple, yaourt, yahourt, ou encore évènement, événement. - [conversif : r_variante] - [1 ≤ q=1.5 ≤ 2]"
72,r_syn_strict,"Termes strictement substituables, pour des termes hors du domaine général, et pour la plupart des noms (exemple : endométriose intra-utérine --> adénomyose) - [conversif : r_syn_strict] - [1 ≤ q=1 ≤ 2]"
73,r_is_smaller_than,Qu'est-ce qui est physiquement plus gros que... (la comparaison doit être pertinente) - [conversif : r_is_bigger_than] - [1 ≤ q=1 ≤ 2]
74,r_is_bigger_than,Qu'est-ce qui est physiquement moins gros que... (la comparaison doit être pertinente) - [conversif : r_is_smaller_than] - [1 ≤ q=1 ≤ 2]
75,r_accomp,"Est souvent accompagné de, se trouve avec... Par exemple : Astérix et Obelix, le pain et le fromage, les fraises et la chantilly. - [1 ≤ q=1 ≤ 2]"
76,r_processus>patient,"Quel est le patient de ce processus/événement ? Par exemple, 'découpe' peut avoir comme patient 'viande'. - [conversif : r_processus>patient-1] - [1 ≤ q=0.94 ≤ 2]"
77,r_verb_ppas,"Le participe passé (au masculin singulier) du verbe infinitif. Par exemple, pour manger => mangé - [0.5 ≤ q=1 ≤ 2]"
78,r_cohypo,"Il est demandé d'énumérer les CO-HYPONYMES du terme. Par exemple, 'chat' et 'tigre' sont des co-hyponymes (de 'félin'). - [conversif : r_cohypo] - [1 ≤ q=1 ≤ 2]"
79,r_verb_ppre,"Le participe présent(au masculin singulier) du verbe infinitif. Par exemple, pour manger => mangeant - [0.5 ≤ q=1 ≤ 2]"
80,r_processus>instr,"Quel est l'instrument/moyen de ce processus/événement ? Par exemple, 'découpe' peut avoir comme instrument 'couteau'. - [conversif : r_processus>instr-1] - [1 ≤ q=1.44 ≤ 2]"
81,r_pref_form,Indique une forme préférée - [1 ≤ q=1.44 ≤ 2]
82,r_interact_with,Indique avec quoi antécédent peut interagir. - [1 ≤ q=1.44 ≤ 2]
83,r_alias,"Indique que les deux termes sont identiques, le 2e est un alias du premier. Utile pour synchroniser des termes ou raffinement (éventuellement poly). - [1 ≤ q=0 ≤ 1]"
84,r_has_euphemisme,"Moins intense, euphémisme. Exemple : être mort => être fatigué - [1 ≤ q=4.19 ≤ 5]"
98,r_flex_morpho,"Des termes fléchis morphologiquement sont demandés). Par exemple, pour 'venir' on pourrait mettre 'vient', 'viens', 'venons', etc. (mais pas 'lactose'). Pour 'beau', on mettra 'belle', 'beaux', 'belles', etc. - [1 ≤ q=1 ≤ 2]"
99,r_der_morpho,"Des termes dériviés morphologiquement sont demandés). Par exemple, pour 'lait' on pourrait mettre 'laitier', 'laitage', 'laiterie', etc. (mais pas 'lactose'). Pour 'jardin', on mettra 'jardinier', 'jardinage', 'jardiner', etc. - [1 ≤ q=1 ≤ 2]"
100,r_has_auteur,Quel est l'auteur de l'oeuvre suivante ? - [conversif : r_has_auteur-1] - [1 ≤ q=1 ≤ 2]
101,r_has_personnage,Quels sont les personnages présents dans l'oeuvre qui suit ? - [1 ≤ q=0.94 ≤ 2]
102,r_can_eat,De quoi peut se nourrir l'entité suivante ? - [conversif : r_can_eat-1] - [1 ≤ q=1.85 ≤ 2]
103,r_has_actors,A comme acteurs (pour un film ou similaire). - [1 ≤ q=1 ≤ 2]
104,r_deplac_mode,Mode de déplacement. chat r_deplac_node marche - [1 ≤ q=2 ≤ 2]
105,r_has_interpret,Interprète de personnages (cinéma ou théâtre) - [1 ≤ q=1 ≤ 2]
106,r_has_color,A comme couleur(s)... chat r_color noir - [2 ≤ q=8.78 ≤ 10]
107,r_has_cible,"Cible de la maladie : myxomatose => lapin, rougeole => enfant, ... - [1 ≤ q=1 ≤ 2]"
108,r_has_symptomes,"Symptomes de la maladie : myxomatose => yeux rouges, rougeole => boutons, ... - [conversif : r_symptomes-1] - [1 ≤ q=1.5 ≤ 2]"
109,r_has_predecesseur-time,Qu'est ce qui peut PRECEDER temporellement (par exemple - inverse de successeur) le terme suivant : - [conversif : r_has_successeur-time] - [2 ≤ q=6 ≤ 6]
110,r_has_diagnostic,"Diagnostic pour la maladie : diabète => prise de sang, rougeole => examen clinique, ... - [1 ≤ q=1 ≤ 2]"
111,r_has_predecesseur-space,Qu'est ce qui peut PRECEDER spatialement (par exemple - inverse de successeur spatial) le terme suivant : - [conversif : r_has_successeur-space] - [2 ≤ q=6 ≤ 6]
112,r_has_successeur-space,"Qu'est ce qui peut SUIVRE spatialement (par exemple Locomotive à vapeur -> tender, wagon etc.) le terme suivant : - [conversif : r_has_predecesseur-space] - [2 ≤ q=5 ≤ 6]"
113,r_has_social_tie_with,"Relation sociale/familliale entre les individus... (annotation pour la nature exacte : frère, mari, etc.) Julie Depardieu r_social_tie>fille Gérard Deparidieu ; Gérard Deparidieu r_social_tie>père Julie Depardieu - [1 ≤ q=1 ≤ 2]"
114,r_tributary,Tributaire de (physique ou spatial). - [0.5 ≤ q=1 ≤ 2]
115,r_sentiment-1,"Pour un SENTIMENT ou EMOTION donné, il est demandé d'énumérer les termes que vous pourriez associer. Par exemple, pour 'joie', on aurait 'cadeau', 'naissance', 'bonne nouvelle', etc. - [conversif : r_sentiment] - [5 ≤ q=7.64 ≤ 10]"
116,r_linked-with,A quoi est-ce relié (un wagon est relié à un autre wagon ou à une locomotive) ? - [5 ≤ q=6.01 ≤ 10]
117,r_foncteur,"La fonction de ce terme par rapport à d'autres. Pour les prépositions notamment, 'chez' => relation r_location. (demande un type de relation comme valeur) - [0.5 ≤ q=1 ≤ 2]"
118,r_comparison,(interne) - [0.5 ≤ q=1 ≤ 2]
119,r_but,But de l'action (nom ou verbe) - [conversif : r_but-1] - [1 ≤ q=10 ≤ 10]
120,r_but-1,Quel sont les actions ou verbes qui ont le terme cible comme but ? - [conversif : r_but] - [1 ≤ q=9.61 ≤ 10]
121,r_own,"Que POSSEDE le terme suivant ? (un soldat possède un fusil, une cavalière des bottes, ... soldat r_own fusil, ...) - [conversif : r_own-1] - [0.5 ≤ q=1.86 ≤ 2]"
122,r_own-1,"Par qui ou quoi EST POSSEDE le terme suivant ? (par exemple, fusil r_own-1 soldat) - [conversif : r_own] - [0.5 ≤ q=0.96 ≤ 2]"
123,r_verb_aux,Auxiliaire utilisé pour ce verbe - [0.5 ≤ q=1 ≤ 2]
124,r_has_predecesseur-logic,Qu'est ce qui peut PRECEDER logiquement (par exemple : A précède B - inverse de successeur logique) le terme suivant : - [conversif : r_has_successeur-logic] - [2 ≤ q=6 ≤ 6]
125,r_has_successeur-logic,"Qu'est ce qui peut SUIVRE logiquement (par exemple A -> B, C etc.) le terme suivant : - [conversif : r_has_predecesseur-logic] - [2 ≤ q=4.55 ≤ 6]"
126,r_isa-incompatible,"Relation d'incompatibilité pour les génériques. Si A r_isa-incompatible B alors X ne peut pas être à la fois A et B ou alors X est polysémique. Par exemple, poisson r_isa-incompatible oiseau. Colin est à la fois un oiseau et un poisson, donc colin est polysémique. - [0.5 ≤ q=1 ≤ 2]"
127,r_incompatible,"Relation d'incompatibilité, ne doivent pas être présents ensemble. Par exemple, alcool r_incompatible antibiotique. - [0.5 ≤ q=1.5 ≤ 2]"
128,r_node2relnode-in,Relation entre un noeud (quelconque) et un noeud de relation (type = 10) - connecte le noeud d'entrée - permet de rendre le graphe connexe même avec les annotations de relations - [0.5 ≤ q=1.5 ≤ 2]
129,r_require,"Il est demandé d'énumérer les termes nécessaires au mot mot cible... Par exemple, 'se reposer' => 'calme', ou 'pain' => 'farine'. - [1 ≤ q=1 ≤ 10]"
130,r_is_instance_of,"Une instance est un individu particulier. Il s'agit d'une entité nommée (personne, lieu, organisation, etc) - par exemple, 'Jolly Jumper' est une instance de 'cheval', 'Titanic' en est une de 'transatlantique'. - [conversif : r_has_instance] - [1 ≤ q=1 ≤ 3]"
131,r_is_concerned_by,"A peut être concerné par B. Par exemple, une personne a un rendez-vous a une maladie, une idée, une opinion, etc... - [conversif : r_concerning] - [1 ≤ q=1 ≤ 3]"
132,r_symptomes-1,"Inverse de symptômes de la maladie : myxomatose => yeux rouges, rougeole => boutons, ... - [conversif : r_has_symptomes] - [1 ≤ q=1 ≤ 2]"
133,r_units,"A comme unités pour une propriété, ou une mesure. Par exemple vitesse a pour unités m/s ou km/h, etc. - [1 ≤ q=1 ≤ 2]"
134,r_promote,"Qu'est-ce que le terme suivant FAVORISE ? Par exemple, un catalyseur favorise une réaction chimique. - [conversif : r_promote-1] - [1 ≤ q=1 ≤ 2]"
135,r_has_circumstances,"Les circonstances possibles pour un événements, ou un objet. Par exemple : mort | r_has_circonstances | fusillade - [0 ≤ q=1 ≤ 0]"
136,r_has_auteur-1,Quel sont les oeuvres de l'auteur suivant ? - [conversif : r_has_auteur] - [1 ≤ q=1 ≤ 2]
137,r_processus>agent-1,- [conversif : r_processus>agent] - [1 ≤ q=0.94 ≤ 2]
138,r_processus>patient-1,- [conversif : r_processus>patient] - [1 ≤ q=0.94 ≤ 2]
139,r_processus>instr-1,- [conversif : r_processus>instr] - [1 ≤ q=0.94 ≤ 2]
140,r_node2relnode-out,Relation entre un noeud (quelconque) et un noeud de relation (type = 10) - connecte le noeud de sortie - permet de rendre le graphe connexe même avec les annotations de relations - [0.5 ≤ q=1.5 ≤ 2]
141,r_carac_nominale,"Pour un terme donné, souvent un objet, il est demandé d'en énumérer les CARACtéristiques nominales (nom) possibles/typiques. Par exemple, stylo => bille, feutre - [1 ≤ q=1 ≤ 1]"
142,r_has_topic,"Thème lié à l'objet de départ, exemples : restaurant r_has_topic sushis, magazine r_has_topic bande dessinée - [1 ≤ q=1 ≤ 1]"
143,r_can_measure,Ce que peut mesurer quelques chose. Par exemple : thermomètre r_can_measure température - [1 ≤ q=1 ≤ 1]
145,r_can_eat-1,Qui peut consommer l'entité suivante ? - [conversif : r_can_eat] - [1 ≤ q=1.85 ≤ 2]
147,r_can_become,"La relation 'peut devenir' indique en quoi quelque chose peut être transformé. Par exemple, 'pomme de terre' peut devenir : 'pur´e', 'frites' ; ou encore 'enfant' peut devenir 'adulte' - [1 ≤ q=3.6 ≤ 5]"
148,r_pourvoyeur,"Le pourvoyeur est l'entité qui fournit l'object de l'action (le pourvoyeur est un complément d'objet indirect introduit par 'à', ...). Par exemple dans - Le client demande une pizza à la serveuse - le pourvoyeur est ici la serveuse ... - [1 ≤ q=5 ≤ 5]"
149,r_compl_agent,"Le complément d'agent est celui qui effectue l'action dans les formes passives. Par exemple, pour 'être mangé', la souris est l'agent et le chat le complément d'agent. - [2 ≤ q=3.6 ≤ 10]"
150,r_has_beneficiaire,"Le bénéficiaire est l'entité qui tire bénéfice/préjudice de l'action (un complément d'objet indirect introduit par 'à', 'pour', ...). Par exemple dans - La sorcière donne une pomme à Blanche Neige -, la bénéficiaire est Blanche Neige ... enfin, bref, vous avez compris l'idée. - [1 ≤ q=4.58 ≤ 5]"
151,r_descend_de,Descend de (évolution)... - [1 ≤ q=1.5 ≤ 2]
152,r_domain_subst,"Quels sont le ou les domaines de substitution pour ce terme quand il est utilisé comme domaine (par exemple, 'muscle' => 'anatomie du système musculaire') - [0.5 ≤ q=1 ≤ 2]"
153,r_has_prop,"Pour le terme donné, il faut indiquer les noms de propriétés pertinents (par exemple pour 'voiture', le 'prix', la 'puissance', la 'longueur', le 'poids', etc. On ne met que des noms et pas des adjectifs). - [conversif : r_has_prop-1] - [0.5 ≤ q=0.5 ≤ 2]"
154,r_activ_voice,"Pour un verbe à la voix passive, sa voix active. Par exemple, pour 'être mangé' on aura 'manger'. - [0.5 ≤ q=1 ≤ 2]"
155,r_make_use_of,Peut utiliser un objet ou produit (par exemple électricité pour frigo). - [conversif : r_is_used_by] - [0.5 ≤ q=0.5 ≤ 2]
156,r_is_used_by,Est utilisé par (par exemple essence pour voiture). - [conversif : r_make_use_of] - [0.5 ≤ q=0.89 ≤ 2]
157,r_adj-nomprop,"Pour un adjectif, donner le nom de propriété correspondant. Par exemple, pour 'friable' -> 'friabilité' - [conversif : r_nomprop-adj] - [1 ≤ q=1 ≤ 2]"
158,r_nomprop-adj,"Pour un nom de propriété, donner l'adjectif correspondant. Par exemple, pour 'friabilité' -> 'friable' - [conversif : r_adj-nomprop] - [1 ≤ q=1 ≤ 2]"
159,r_adj-adv,"Pour un adjectif, donner l'adverbe correspondant. Par exemple, pour 'rapide' -> 'rapidement' - [conversif : r_adv-adj] - [1 ≤ q=1 ≤ 2]"
160,r_adv-adj,"Pour un adverbe, donner l'adjectif correspondant. Par exemple, pour 'rapidement' -> 'rapide' - [conversif : r_adj-adv] - [1 ≤ q=1 ≤ 2]"
161,r_homophone,Il est demandé d'énumérer les homophones ou quasi-homophones de ce terme. - [5 ≤ q=5 ≤ 5]
162,r_potential_confusion_with,"Confusion potentielle avec un autre terme (par exemple, acre et âcre, détonner et détoner). - [5 ≤ q=5 ≤ 5]"
163,r_concerning,"Qui concerne quelque chose ou quelqu'un. Par exemple: maladie r_concerning personne, ou disparition r_concerning emploi. (inverse de r_is_concerned_by) - [conversif : r_is_concerned_by] - [5 ≤ q=5 ≤ 5]"
164,r_adj>nom,"Le nom associé à l'adjectif. Par exemple, 'urinaire' -> 'urine' - [conversif : r_nom>adj] - [5 ≤ q=5 ≤ 5]"
165,r_nom>adj,"L'adjectif associé au nom. Par exemple, 'urine' -> 'urinaire' - [conversif : r_adj>nom] - [5 ≤ q=5 ≤ 5]"
166,r_opinion_of,L'opinion de tel groupe ou telle personne. Utilisé comme relation d'annotation. - [0.5 ≤ q=1 ≤ 2]
167,r_has_value,Une valeur associée à une propriété ou un objet - [0.5 ≤ q=1 ≤ 2]
168,r_has_value>,Une valeur associée à une propriété ou un objet - [0.5 ≤ q=1 ≤ 2]
169,r_has_value<,Une valeur associée à une propriété ou un objet - [0.5 ≤ q=1 ≤ 2]
170,r_sing_form,La forme au singulier d'un terme. Exemple : chevaux r_sing_form cheval (pas de relation inverse) - [0.5 ≤ q=1 ≤ 2]
